No.,Time,Source,Destination,Protocol,Length,Info,SourcePort,DestinationPort
30440,253.532974,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30441,253.533146,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30442,253.533587,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30443,253.534158,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30444,253.534248,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30445,253.534889,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30446,253.535774,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30447,253.536833,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30448,253.537041,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30449,253.537194,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30450,253.537194,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30451,253.53775,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30452,253.537875,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30453,253.543576,117.219.237.13,192.168.1.41,QUIC,68,Protected Payload (KP0),443,61402
30454,253.544182,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30455,253.544306,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30456,253.544788,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30457,253.544892,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30458,253.545358,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30459,253.545434,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30460,253.547467,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30461,253.5475,192.168.1.41,117.219.237.13,QUIC,79,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30462,253.549363,192.168.1.41,117.219.237.13,QUIC,78,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30463,253.554085,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30464,253.554359,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30465,253.554359,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30466,253.554596,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30467,253.554985,192.168.1.41,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 ,58060,1900
30468,253.555582,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30469,253.555663,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30470,253.555746,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30471,253.556967,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30472,253.560569,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30473,253.561187,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30474,253.561719,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30475,253.561852,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30476,253.562237,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30477,253.562879,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30478,253.563096,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30479,253.56338,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30480,253.564247,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30481,253.566303,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30482,253.56792,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30483,253.570265,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30484,253.571439,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30485,253.571439,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30486,253.571439,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30487,253.571439,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30488,253.572231,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30489,253.572693,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30490,253.582975,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30491,253.582975,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30492,253.582975,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30493,253.582975,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30494,253.583768,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30495,253.584174,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30496,253.584258,192.168.1.41,117.219.237.13,QUIC,81,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30497,253.586993,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30498,253.59487,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30499,253.597332,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30500,253.597508,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30501,253.597943,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30502,253.598497,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30503,253.599089,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30504,253.599254,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30505,253.599699,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30506,253.599823,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30507,253.600914,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30508,253.600969,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30509,253.601563,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
